username,price,avg_likes,avg_comments,followers
Aroose_yeganeh,71500,93.7,3.9,418640
majale_zanashooyi,220000,1278.8,24.3,392179
_bekhanim_,583000,23376.6,457.5,436372
post_bartar,110000,996.4,41.2,385238
oclip,77000,524.6,10.5,414450
caption.khas,198000,9594.6,91.2,404056
top.p0st,77000,936.3,34.9,373437
slidebartar,198000,10441.8,352.0,430578
Siibgram,165000,4267.2,67.2,393424
loveiscarto0n,605000,13576.8,174.5,408395
lenofact,187000,2894.3,43.1,383230
fact_psychology,220000,9729.7,109.7,420379
Naghashikoodak_fatima,1100000,4260.1,205.8,382169
aroose_vip,44000,149.7,3.6,379022
ashpazi_rangiin,220000,2727.5,30.2,389282
Golchin.honar,79200,2317.4,81.4,444131
majallehkhodro,5500000,52382.5,4117.7,438745
Makeupvideos_aroos,143000,1047.1,11.9,381989
Shadi_yani,165000,1990.2,8.4,377195
Golchin_gram,268400,6234.9,268.0,392690
one_word_per_day,352000,1600.0,18.9,357268
majaleyekoodak,110000,1039.9,21.6,366000
asena_clip,385000,3267.9,52.7,369847
shakila64,165000,3209.4,68.5,373825
Saharchef,2200000,82169.2,11506.9,735054
factpact,297000,5385.8,102.0,372114
azermusic,198000,6750.7,202.3,370123
golchine_khatereha,110000,1909.1,34.1,369194
zana.shooyi,242000,5457.8,119.6,368670
Shahbanoo_olgo,88000,1401.2,24.0,371045
clipkade_ir,110000,957.8,50.3,367808
1danestaniha,275000,50.2,9.9,372549
Majale_salamat,55000,3044.1,61.4,368998
Bimozo,33000,1872.0,37.3,354392
Amirjahanbakhsh75,1100000,12048.7,891.3,364100
Wuclip,104500,7478.3,41.7,404788
Tv_funplus,165000,2929.0,51.5,355456
Ghanonejazb_zare,220000,2575.4,72.4,365607
parsiwod,99000,2019.9,146.7,365595
mooo_arayesh,110000,885.3,7.3,352869
Motivationfilm,436700,5839.1,610.4,359976
shur.o.shirin,165000,363.1,36.2,355015
zibapic,55000,1580.1,105.7,355588
neemmag,330000,5336.5,176.9,351551
top_tourism,330000,8536.1,188.1,359690
ASHPAZI_KHANOM,66000,917.2,11.5,355804
Bebin_o_bedan,121000,3820.6,137.2,376989
tajkabir.1,110000,1179.8,16.8,352556
Talghin_mosbat,330000,5488.3,716.8,361005
Lovely_trucks,385000,7289.1,82.8,452119
Toyotagram_iran,440000,6097.7,57.3,392038
hafezgram,440000,5366.8,130.0,352048
Narenjigroup,187000,4103.7,50.2,329917
Aroose_asall,58300,79.9,3.8,343747
ahangify,1100000,2425.3,98.5,350940
Shadmehrlive,132000,315.7,9.7,973
Pias_day,220000,2855.3,44.9,348578
zimapoem,297000,12911.7,293.6,345731
majaleye_modha,66000,2275.1,36.5,339766
ashpazie_khanegi,99000,1789.4,27.4,349821
clip_kade2,110000,836.8,51.3,343610
cilip4you,192500,1766.4,20.2,352666
dadaigram,60500,3915.1,23.0,330980
text.mosbat,330000,4272.8,397.3,344966
Comedy.farsi,253000,5231.9,41.0,342612
Dep_faz,99000,2161.2,18.8,341847
clip.mix_ir,220000,2.1,0.5,48
shima.rasoulzade,825000,54519.3,1514.8,362323
donsgame,660000,23950.2,617.2,343355
Sedamasih,1100000,15511.8,1591.2,347150
the_law_of_lovee,214500,7102.2,1230.0,358973
clip_axmaxbax1,88000,11277.7,310.5,344171
ashpazie_nab,165000,2554.5,92.4,340253
Clip.bartar,60500,3796.3,149.2,328140
Black__trick,165000,1373.9,9.1,338816
Farsienglish,550000,4252.0,127.4,328155
pezeshki_beauti,181500,3470.7,182.0,336115
Manto__roz,88000,1139.0,32.0,465607
asrejadid_official,330000,4807.6,195.8,339739
shahre_movafaghiat,308000,4446.5,109.7,337051
daneshe.salamati,99000,1429.9,19.9,334226
ashpazi_decor,242000,3188.9,34.0,335734
Memari_bartar,275000,988.2,24.9,336047
Kice_Suzi,110000,4375.4,107.0,352319
music.video.parsi,154000,1939.6,25.9,342216
English._.idioms,220000,12123.2,89.3,429237
sh.k968,220000,5568.3,54.8,335055
myzoomg,3360000,11594.8,429.1,338153
Mehraban.kindergarten,550000,4871.9,195.3,330520
khabar_fouri.official,363000,392.6,15.5,333878
soonfact,33000,124.4,1.2,328142
Aroose_setare,58300,120.7,3.2,329239
Cilip_land,165000,1204.5,54.0,326009
Matne.Baran,308000,8371.7,67.0,336406
